API_NUMBER,DA_STATUS_NUMBER,OPERATOR_NAME,LEASE_NAME,center_lat_wgs84,center_lon_wgs84,min_lat_wgs84,max_lat_wgs84,min_lon_wgs84,max_lon_wgs84
335613,0908894,"DEVON ENERGY PRODUCTION CO, L.P.",HERMANN E - BIG OAK A SA B    02,29.275197,-97.321086,29.27450974033213,29.27588336670576,-97.3218730134757,-97.32029826141489
335614,0908900,"DEVON ENERGY PRODUCTION CO, L.P.",HERMANN E - BIG OAK A SA C    02,29.275191,-97.321023,29.274504440633393,29.27587806700702,-97.32181041165832,-97.32023565967917
335615,0908901,"DEVON ENERGY PRODUCTION CO, L.P.",HERMANN E - BIG OAK A SA D    02,29.275186,-97.320961,29.274499040937545,29.275872667311173,-97.32174790984268,-97.32017315794673
335598,0908590,"DEVON ENERGY PRODUCTION CO, L.P.",IR E                          02,29.238003,-97.367989,29.23731589988116,29.238689526254788,-97.36877564151372,-97.36720146199558
335599,0908592,"DEVON ENERGY PRODUCTION CO, L.P.",IR E                          02,29.238022,-97.367930,29.23733539939859,29.238709025772216,-97.36871734007912,-97.3671431602611
335600,0908594,"DEVON ENERGY PRODUCTION CO, L.P.",IR E                          02,29.238044,-97.367872,29.237357598831625,29.238731225205253,-97.36865903867293,-97.36708485851351
335601,0908595,"DEVON ENERGY PRODUCTION CO, L.P.",IR E                          02,29.238064,-97.367814,29.237376998352413,29.23875062472604,-97.36860063723447,-97.3670264567767
335602,0908596,"DEVON ENERGY PRODUCTION CO, L.P.",IR E                          02,29.238164,-97.367522,29.237476995861652,29.23885062223528,-97.368309030085,-97.36673484808937
335603,0908597,"DEVON ENERGY PRODUCTION CO, L.P.",IR E                          02,29.238183,-97.367464,29.237496495379308,29.238870121752935,-97.3682506286476,-97.36667644635209
335604,0908599,"DEVON ENERGY PRODUCTION CO, L.P.",IR E                          02,29.238203,-97.367405,29.237515894899882,29.23888952127351,-97.36819232721196,-97.3666181446181
335609,0908865,MARATHON OIL EF LLC,WARD ROEDER-MIGURA A SA1      02,28.998621,-97.606067,28.99793400800028,28.999307634373906,-97.60685201616828,-97.60528149582107
531428,0908593,"CANAN MOWREY OPERATING, LLC",TCHFORK OTOE                  11,33.459796,100.638494,33.45910918681319,33.46048281318681,100.63767035237758,100.63931684762242
530667,0908578,"CANAN MOWREY OPERATING, LLC",TCHFORK-TOREADOR D            11,33.452278,100.629082,33.45159158681319,33.45296521318681,100.62825862374942,100.62990497625057
739062,0908602,ATLAS OPERATING LLC,OOK EFS                       01,28.403484,-99.993283,28.40279716353194,28.404170789905567,-99.99406376689981,-99.9925021528845
739060,0908479,"GRIT OIL & GAS MANAGEMENT, LLC",R                             01,28.309451,100.104628,28.308763686813187,28.310137313186814,100.10384748430901,100.10540771569099
739061,0908480,"GRIT OIL & GAS MANAGEMENT, LLC",R                             01,28.309472,100.104685,28.308785186813186,28.310158813186813,100.10390488415133,100.10546511584867
739063,0908648,VERDUN OIL & GAS LLC,LLOON BUSTER UNIT             01,28.467306,-99.768812,28.46661946745836,28.46799309383199,-99.76959304403395,-99.76803048780293
739064,0908649,VERDUN OIL & GAS LLC,OMMELFEUER UNIT               01,28.467262,-99.768775,28.466574769013345,28.467948395386973,-99.76955664254601,-99.76799408697596
739052,0907537,VERDUN OIL & GAS LLC,MMERMAN B                     01,28.345208,-99.598269,28.344521608017374,28.345895234391,-99.59904891895833,-99.59748816258907
